date,text
1993-02-03,"8. Staff officers of the Committee are authorized to 
    transmit pertinent information on System foreign 
    currency operations to appropriate officials of the 
    Treasury Department."
1993-02-03,"9. All Federal Reserve Banks shall participate in the 
    foreign currency operations for System Account in 
    accordance with paragraph 3 G(1) of the Board of 
    Governors' Statement of Procedure with Respect to 
    Foreign Relationships of Federal Reserve Banks dated 
    January 1, 1944."
1993-02-03,"By unanimous vote, the Foreign Currency Directive, as shown 
    below, was reaffirmed:"
1993-02-03,"1. System operations in foreign currencies shall 
    generally be directed at countering disorderly market 
    conditions, provided that market exchange rates for the 
    U. S. dollar reflect actions and behavior consistent 
    with the IMF Article IV, Section 1."
1993-02-03,2. To achieve this end the System shall:
1993-02-03,"
    A. Undertake spot and forward purchases and sales 
      of foreign exchange.
    B. Maintain reciprocal currency (""swap"") 
      arrangements with selected foreign central banks and 
      with the Bank for International Settlements.
  
  C. Cooperate in other respects with central banks 
    of other countries and with international monetary 
    institutions."
1993-02-03,3. Transactions may also be undertaken:
1993-02-03,"
    A. To adjust System balances in light of probable 
      future needs for currencies.
    B. To provide means for meeting System and 
      Treasury commitments in particular currencies, and to 
      facilitate operations of the Exchange Stabilization 
      Fund.
    C. For such other purposes as may be expressly 
      authorized by the Committee.
  "
1993-02-03,"4. System foreign currency operations shall be 
    conducted:"
1993-02-03,"
    A. In close and continuous consultation and 
      cooperation with the United States Treasury;
    B. In cooperation, as appropriate, with foreign 
      monetary authorities; and
    C. In a manner consistent with the obligations of 
      the United States in the International Monetary Fund 
      regarding exchange arrangements under the IMF Article 
      IV.
  "
1993-02-03,"By unanimous vote, the Procedural Instructions with respect 
    to Foreign Currency Operations were amended to update the title of the 
    Manager of the System Open Market Account. The Procedural 
    Instructions, as amended, are shown below:"
1993-02-03,"In conducting operations pursuant to the 
    authorization and direction of the Federal Open Market 
    Committee as set forth in the Authorization for Foreign 
    Currency Operations and the Foreign Currency Directive, 
    the Federal Reserve Bank of New York, through the 
    Manager of the System Open Market Account (""Manager""), 
    shall be guided by the following procedural 
    understandings with respect to consultations and 
    clearance with the Committee, the Foreign Currency 
    Subcommittee, and the Chairman of the Committee. All 
    operations undertaken pursuant to such clearances shall 
    be reported promptly to the Committee."
1993-02-03,"1. The Manager shall clear with the Subcommittee (or 
    with the Chairman, if the Chairman believes that 
    consultation with the Subcommittee is not feasible in 
    the time available):"
1993-02-03,"
    A. Any operation that would result in a change in 
      the System's overall open position in foreign 
      currencies exceeding $300 million on any day or $600 
      million since the most recent regular meeting of the 
      Committee.
    B. Any operation that would result in a change on 
      any day in the System's net position in a single 
      foreign currency exceeding $150 million, or $300 
      million when the operation is associated with repayment 
      of swap drawings.
    C. Any operation that might generate a 
      substantial volume of trading in a particular currency 
      by the System, even though the change in the System's 
      net position in that currency might be less than the 
      limits specified in 1B.
    D. Any swap drawing proposed by a foreign bank 
      not exceeding the larger of (i) $200 million or (ii) 15 
      percent of the size of the swap arrangement.
  "
1993-02-03,"2. The Manager shall clear with the Committee (or 
    with the Subcommittee, if the Subcommittee believes 
    that consultation with the full Committee is not 
    feasible in the time available, or with the Chairman, 
    if the Chairman believes that consultation with the 
    Subcommittee is not feasible in the time available):"
1993-02-03,"
    A. Any operation that would result in a change in 
      the System's overall open position in foreign 
      currencies exceeding $1.5 billion since the most recent 
      regular meeting of the Committee.
    B. Any swap drawing proposed by a foreign bank 
      exceeding the larger of (i) $200 million or (ii) 15 
      percent of the size of the swap arrangement.
  "
1993-02-03,"3. The Manager shall also consult with the 
    Subcommittee or the Chairman about proposed swap 
    drawings by the System, and about any operations that 
    are not of a routine character."
1993-02-03,"The Report of Examination of the System Open Market Account, 
    conducted by the Board's Division of Reserve Bank Operations and 
    Payments Systems as of the close of business on July 31, 1992, was 
    accepted."
1993-02-03,"By unanimous vote, the minutes of actions taken at the 
    meeting of the Federal Open Market Committee held on December 22, 
    1992, were approved."
1993-02-03,"The Deputy Manager for Foreign Operations reported on 
    developments in foreign exchange markets during the period December 
    22, 1992, through February 2, 1993. There were no System open market 
    transactions in foreign currencies during this period, and thus no 
    vote was required of the Committee."
1993-02-03,"The Manager of the System Open Market Account reported on 
    developments in domestic financial markets and on System open market 
    transactions in government securities and federal agency obligations 
    during the period December 22, 1992, through February 2, 1993. By 
    unanimous vote, the Committee ratified these transactions."
1993-02-03,"The Committee then turned to a discussion of the economic 
    outlook, the ranges for the growth of money and debt in 1993, and the 
    implementation of monetary policy over the intermeeting period ahead. 
    A summary of the economic and financial information available at the 
    time of the meeting and of the Committee's discussion is provided 
    below, followed by the domestic policy directive that was approved by 
    the Committee and issued to the Federal Reserve Bank of New York."
1993-02-03,"The information reviewed at this meeting indicated that 
    economic activity rose appreciably further in the fourth quarter. 
    Final demands were buoyed by strength in consumption, business 
    spending for durable equipment, and residential construction. 
    Manufacturing activity also increased considerably, and employment 
    appeared to be on a modest upward trajectory, despite a continuing 
    flow of announcements of layoffs by large corporations. Although 
    recent data on wages and prices had been mixed, on balance they 
    suggested that inflation was trending gradually lower."
1993-02-03,"Total nonfarm payroll employment registered a small increase 
    in December for the fourth consecutive month. Service industries, 
    notably business and health services, and retail trade accounted for 
    nearly all of the rise in jobs. Manufacturing and construction 
    payrolls changed little, and government employment fell as temporary 
    election workers were dropped from payrolls. The civilian unemployment rate remained at 7.3 percent, almost 1/2 percentage point below 
    its mid-year peak but slightly above its level at the beginning of the 
    year."
1993-02-03,"Industrial production advanced further in December and was up 
    considerably over the fourth quarter as a whole. Motor vehicle 
    assemblies rose sharply during the quarter; strong gains also were 
    registered in business equipment, partly reflecting a further jump in 
    output of computers, and in nondurable consumer goods. By contrast, 
    the production of durable consumer goods other than motor vehicles was 
    lower on balance after changing little over the third quarter, and the 
    output of defense and space equipment remained on a downward trend. 
    Total utilization of industrial capacity increased significantly in 
    the fourth quarter and for the year as a whole."
1993-02-03,"Consumer spending was up substantially in the fourth quarter. 
    Retail sales, after rising sharply in October and changing little in 
    November, posted a further sizable increase in December. The largest 
    sales gains in the fourth quarter were reported at automotive dealers 
    and at building material and supply outlets, but most other types of 
    retail stores also recorded higher sales. By contrast, consumer 
    spending for services, as indicated by data on personal consumption 
    expenditures, rose more slowly. Housing starts surged in December, 
    with single family starts reaching their highest level in nearly three 
    years and multifamily starts picking up slightly from the very low 
    levels of October and November. Sales of new and existing homes 
    remained on a strong upward trend in December."
1993-02-03,"Real outlays for business fixed investment apparently 
    registered a notable gain in the fourth quarter, particularly for 
    producers' durable equipment. Shipments of nondefense capital goods 
    rose in November and December after changing little in October; for 
    the quarter as a whole, shipments advanced substantially, with 
    increases widespread by category. Business purchases of cars and 
    trucks were up sharply in the fourth quarter, while nonresidential 
    construction activity retraced a small part of a third-quarter 
    decline."
1993-02-03,"Business inventories expanded moderately in November as a 
    sizable drop in manufacturing inventories was more than offset by 
    increases in wholesale and retail inventories. At the manufacturing 
    level, the drawdown of stocks was associated with strong shipments of 
    durable goods, and inventory-to-shipments ratios in most industries 
    were at or near the bottom of their recent ranges. In the wholesale 
    sector, sizable inventory increases were reported in November for a 
    second straight month; most of the buildup was limited to machinery, 
    motor vehicles, and miscellaneous nondurable goods. With stocks 
    rising in line with sales since September, the stock-to-sales ratio in 
    wholesaling remained at the low end of its range over the past year. 
    Retail inventories increased moderately further in November; the 
    inventory-to-sales ratio for the sector was slightly below its average 
    for previous months of the year."
1993-02-03,"The nominal U.S. merchandise trade deficit widened slightly 
    in November. For October and November together, however, the deficit 
    narrowed a little from its average rate in the third quarter, as the 
    value of exports rose more than the value of imports. Most of the 
    increase in exports was in capital goods, both machinery and aircraft, 
    and in consumer goods. Passenger cars accounted for a considerable 
    part of the rise in imports, while the inflow of consumer goods eased 
    from the very strong pace of the third quarter. Recent indicators 
    suggested that economic activity had remained weak in the major 
    foreign industrial countries and that unemployment rates had increased 
    further in most of those countries. The recovery in Canada appeared 
    to be continuing, but the downturn in western Germany and Japan 
    evidently had persisted into the fourth quarter."
1993-02-03,"A small November decline in producer prices of finished 
    goods was reversed in December, with a rebound in prices of finished 
    foods outweighing a further drop in energy prices. For finished items 
    other than food and energy, producer prices rose in December, but the 
    advance followed six months of no change on balance; for 1992 as a 
    whole, this measure of prices increased by a considerably smaller 
    amount than in 1991. At the consumer level, the index for prices of 
    nonfood, non-energy items edged higher in December after somewhat 
    larger increases in the two preceding months. The rise in this index 
    in 1992 was the smallest for any year since the early 1970s, when wage 
    and price controls were in effect. Hourly compensation of private 
    industry workers advanced a little more rapidly in the fourth quarter 
    than in the two previous quarters, but the rise in total compensation 
    over the year as a whole was considerably smaller than in 1991. The 
    slowing of labor cost increases last year occurred in both the wages 
    and benefits components."
1993-02-03,"At its meeting on December 22, the Committee adopted a 
    directive that called for maintaining the existing degree of pressure 
    on reserve positions and that did not include a presumption about the 
    likely direction of any adjustments to policy during the intermeeting 
    period. Accordingly, the directive indicated that in the context of 
    the Committee's long-run objectives for price stability and 
    sustainable economic growth, and giving careful consideration to 
    economic, financial, and monetary developments, slightly greater 
    reserve restraint or slightly lesser reserve restraint would be 
    acceptable during the intermeeting period. The reserve conditions 
    associated with this directive were expected to be consistent with 
    expansion of M2 at an annual rate of about 1-1/2 percent and with M3 
    remaining about unchanged on balance over the four-month period from 
    November through March."
1993-02-03,"Open market operations during the intermeeting period were 
    directed toward maintaining the existing degree of pressure on reserve 
    positions. Adjustment plus seasonal borrowing was well above expected 
    levels in the first two full reserve maintenance periods in the 
    intermeeting interval; borrowing was sizable over the long New Year's 
    weekend and also later when unusually heavy Treasury tax receipts 
    drained reserves from the banking system. The federal funds rate 
    averaged close to expected levels over the intermeeting period. 
    However, the rate was somewhat volatile in late December as a result 
    of sizable swings in market factors affecting reserves and of shifting 
    market anticipations regarding year-end pressures."
1993-02-03,"Most other short-term interest rates declined somewhat over 
    the intermeeting period, in part reflecting the passing of year-end 
    pressures. Intermediate- and long-term rates, including those on 
    fixed-rate mortgages, also moved somewhat lower; the declines occurred 
    in response to growing indications that any proposed near-term fiscal 
    stimulus would be quite moderate and that the new Administration 
    intended to recommend steps, possibly including new taxes, to lower 
    the trajectory of the fiscal deficit appreciably over time. Broad 
    indexes of stock prices exhibited mixed results over the intermeeting 
    period: Indexes giving heavy weight to large companies changed 
    little, while those primarily reflecting smaller companies rose 
    significantly."
1993-02-03,"In foreign exchange markets, the trade-weighted value of the 
    dollar in terms of the other G-10 currencies rose on balance over the 
    intermeeting period. Through early January, the dollar appreciated 
    against both the yen and the mark, especially the latter, in response 
    to actual and expected further declines in interest rates in Japan and 
    Germany. Subsequently, the dollar's gains were partially erased as 
    the prospects for near-term easing in Germany diminished somewhat and 
    perceptions grew that fiscal initiatives in the United States would 
    lower the deficit and reduce the chances that monetary policy might be 
    tightened in the months ahead."
1993-02-03,"After expanding at a moderate pace over the course of earlier 
    months, M2 contracted in December and January. Some of the weakness 
    reflected a slowdown in Ml growth associated with lower mortgage 
    refinancing activity. Within M2's nontransaction component, the 
    expansion of savings and money market deposit accounts slowed 
    abruptly, perhaps owing in part to the wider spread that had developed 
    during the fall between market rates and those paid on these accounts, 
    as well as to the use of monies in these accounts to fund a step-up in 
    consumer purchases and nonwithheld tax payments. In addition, the 
    continued attractiveness to investors of bond and stock mutual funds 
    might have contributed to a quickening of the runoff of holdings of 
    money market mutual funds and to the persisting weakness in other M2 
    accounts. Appreciable declines in M3 in December and January 
    reflected both the contraction in M2 and reduced needs by banks for 
    managed liabilities at a time of weak overall credit demand. From the 
    fourth quarter of 1991 to the fourth quarter of 1992, both M2 and M3 
    grew at rates somewhat below the lower ends of the Committee's annual 
    ranges. Total domestic nonfinancial debt appeared to have expanded at 
    the lower end of the Committee's monitoring range for 1992."
1993-02-03,"The staff projection prepared for this meeting suggested that 
    economic activity would expand over the year ahead at a pace that 
    would be sufficient to reduce gradually margins of unemployed labor 
    and capital. Recent declines in long-term interest rates and more 
    optimistic attitudes on the part of businesses and households were 
    expected to support further solid gains in business fixed investment 
    and in homebuying. Continuing progress in reducing debt service 
    burdens and a gradual lessening of concerns regarding job security 
    were projected to foster an expansion of consumer spending a shade 
    faster than the growth in incomes. Export demand would be damped for 
    some period of time by the appreciation of the dollar since mid-1992, 
    but an anticipated pickup in growth abroad later this year would begin 
    to counteract the effects of the higher dollar. Against the 
    background of considerable uncertainties associated with still 
    unannounced fiscal policy initiatives, the staff retained for this 
    forecast the assumption contained in several previous forecasts that 
    fiscal policy would remain mildly restrictive, largely because of 
    declining defense outlays. The persisting slack in resource 
    utilization over the forecast horizon was expected to be associated 
    with some additional progress in reducing inflation."
1993-02-03,"In the Committee's discussion of current and prospective 
    economic developments, the members were encouraged by the mounting 
    evidence of appreciable momentum in the economic expansion. On the 
    whole, recent developments tended to reinforce their forecasts of 
    continuing growth at a moderate pace over the year ahead, especially 
    in light of the improvement in business and consumer confidence. The 
    impact of some retarding influences on the expansion, notably various 
    balance sheet adjustment activities, appeared to be waning. In 
    addition, while some major sectors of the economy such as defense 
    spending and commercial construction remained weak, the economy was 
    benefitting from considerable growth in consumer spending, from rising 
    business expenditures for producer equipment, and from increasing 
    outlays for housing. In one view, the recent behavior of commodity 
    prices also tended to indicate some strengthening in the economy's 
    expansion. Despite various indications of a more firmly established 
    expansion, however, the members felt that the outlook remained subject 
    to a good deal of uncertainty, and some commented that substantial 
    deviations--in either direction--from their current forecasts could 
    not be ruled out. It was noted in this connection that the specifics 
    of the President's fiscal policy proposals were still unknown, and 
    their reception by the public and the Congress would have a major 
    influence on confidence, interest rates, and the performance of the 
    economy. Other sources of uncertainty related to the outlook for 
    further restructuring activities that involved cutbacks in operations 
    and employment by many firms, and the prospective lending policies of 
    banking institutions. With regard to the outlook for inflation, most 
    of the members believed that some further progress toward stable 
    prices was likely over the year ahead, given an economic outcome about 
    in line with their forecasts of continued, albeit reduced, margins of 
    unutilized or underutilized productive resources. Some members also 
    referred to the extended period of relatively sluggish growth in the 
    broad measures of money as a favorable indicator in the outlook for 
    inflation."
1993-02-03,"In keeping with the practice at meetings when the Committee 
    establishes its long-run ranges for growth of the money and debt 
    aggregates, the Committee members and the Federal Reserve Bank 
    presidents not currently serving as members had prepared projections 
    of economic activity, the rate of unemployment, and inflation for 
    1993. The central tendencies of the forecasts pointed to slightly 
    faster economic growth this year than currently seemed to have 
    occurred in 1992. The anticipated rate of economic expansion would be 
    at a pace that was rapid enough to reduce the rate of unemployment a 
    little further. Nonetheless, with some slack in productive resources 
    persisting, price and cost pressures would remain subdued and modest 
    additional moderation in inflation was expected by most members. 
    Measured from the fourth quarter of 1992 to the fourth quarter of 
    1993, the forecasts for growth of real GDP had a central tendency of 3 
    to 3-1/4 percent within a full range of 2-1/2 to 4 percent. Projections of the civilian rate of unemployment in the fourth quarter of 
    1993 were concentrated in the upper half of a 6-1/2 to 7 percent 
    range.  For the  CPI, the central tendency of the forecasts for the  
    period from the  fourth quarter of 1992 to the fourth quarter of  1993  
    was  centered on  increases in  a range of 2-1/2 to  2-3/4 percent, and  
    for nominal GDP the forecasts were clustered in a range of 5-1/2 to 6 
    percent for the year."
1993-02-03,"In the course of the Committee's discussion of various 
    factors underlying the outlook for economic activity, the members 
    observed that on the whole the effects of a number of structural 
    impediments to the expansion seemed to be diminishing as the financial 
    condition of households, business firms, and financial institutions 
    continued to improve. Household and business debt-service burdens had 
    eased substantially, but it remained difficult to predict to what 
    extent and for how long the ongoing balance sheet adjustments would 
    continue to divert an unusual proportion of cash flows from spending 
    to balance sheet repair. Improved profitability and new capital-market issuance had strengthened the capital positions of banking 
    institutions, and in general they were now in a much better position 
    to augment their lending activities. However, there were few 
    indications thus far of any easing in terms or standards on business 
    loans, and the depressed and uncertain values of commercial mortgages 
    and real estate held in bank portfolios might continue to exert an 
    inhibiting effect on the willingness of banks to lend. Another 
    negative factor was the persistence of downsizing and other 
    restructuring activities by numerous firms, notably large businesses. 
    Such restructuring activities had not fully run their course as many 
    firms continued to pare excess production capacity and to modernize 
    production facilities to meet strong competition in domestic and 
    foreign markets. The resulting layoffs had damped overall job growth."
1993-02-03,"Despite tepid job growth, retail sales had strengthened 
    markedly during the closing months of 1992, and several members 
    commented that such sales had continued to display surprising vigor in 
    some parts of the country during the early weeks of 1993. Apart from 
    the improvement in consumer sentiment, other favorable factors cited 
    with regard to the outlook for consumer spending included lower debt-service burdens and the capital gains or enhanced cash flows now being 
    realized as sales of homes picked up and mortgage refinancings again 
    strengthened. Some members nonetheless expressed a degree of concern 
    about the sustainability of the gains in consumer spending unless 
    there were faster growth in employment and income to support such 
    spending. Announcements by prominent firms of cutbacks in their 
    workforces had continued into the new year, and while job gains at 
    other firms, especially smaller ones, were contributing to modest net 
    growth in overall employment, the publicity surrounding the persisting 
    job cutbacks and a tendency for many new jobs to be lower-paying added 
    an element of caution to the outlook for consumer expenditures. On 
    balance, with the measured saving rate already at a low level, though 
    an argument could be made that the actual rate was somewhat higher 
    than indicated by the currently published data, consumer spending 
    seemed likely to expand about in line with the growth in consumer 
    incomes over the coming year."
1993-02-03,"The growth in consumer incomes in turn was likely to depend 
    importantly on the expansion in business investment spending, and 
    members cited a number of factors that were expected to provide a 
    favorable setting for sustained momentum in such spending over the 
    year ahead. These included the strengthening of final demands, the 
    recent declines in intermediate -and long-term interest rates, the 
    greater leeway for financial intermediaries to increase their lending 
    to businesses, and a continuing desire by business firms to improve 
    their operating efficiencies. Commercial construction activity, 
    however, was likely to remain quite sluggish. There were indications 
    that commercial real estate values had stabilized in a number of 
    areas, but at low levels, and given the persistence of marked 
    imbalances in numerous real estate markets that were the result of 
    several years of overbuilding, a significant rebound in commercial 
    building activity for the nation as a whole might well be several 
    years away. The outlook for housing construction was much more 
    promising. Against the background of a general upswing in consumer 
    confidence and the improved balance sheets of many households, the 
    declines that had occurred in mortgage interest rates had fostered a 
    marked strengthening in the demand for single-family housing as 
    evidenced by reports from many parts of the country as well as the 
    overall statistics on housing. On the basis of these developments, 
    the members anticipated a continuing impetus to the economic expansion 
    from housing construction and from related industries over the year 
    ahead. In addition, the current indications of generally lean 
    business inventories, associated in part with strong final demands 
    over the past several months, suggested that the prospects for further 
    gains in overall spending were likely to stimulate efforts by business 
    firms to build up inventories over the quarters ahead."
1993-02-03,"The increasing signs of slow growth or recession in a number 
    of foreign nations represented a greater downside risk to the demand 
    for U.S. exports than had been apparent earlier. It was noted, for 
    example, that firms engaged in business activities abroad were 
    reporting substantial deterioration in markets for U.S. goods in many 
    foreign countries. Growth in U.S. exports might remain positive over 
    the year ahead, but against the background of a relatively expansive 
    U.S. economy and the dollar's recent appreciation, the value of 
    exports might well fall increasingly short of that of imports with 
    adverse effects on the growth of U.S. economic activity."
1993-02-03,"Turning to the outlook for fiscal policy, members were 
    encouraged by the prospect that the President would soon propose a 
    program that would produce substantial reductions in the federal 
    deficit over the years ahead. Such a deficit-reduction program, if 
    deemed credible, could result in lower intermediate- and long-term 
    interest rates than would otherwise prevail--even before the program 
    was enacted--with very positive implications for interest-sensitive 
    expenditures. For the nearer term, the President was expected to 
    announce some modest fiscal stimulus relative to what was currently in 
    train. However, the specifics of the President's proposals were not 
    yet known and there was little current basis on which to judge 
    prospective public and Congressional reactions. Members emphasized 
    the critical need for long-term deficit reduction, and some expressed 
    concern about the adverse effects on financial markets if fiscal 
    stimulus measures were to be enacted for the short run without the 
    assurance of further legislation to cut federal deficits over time."
1993-02-03,"With regard to the outlook for inflation, most of the members 
    anticipated that the trend toward lower price and wage inflation would 
    be sustained over the year ahead, and one member observed that the 
    disinflationary momentum in the economy might well be underestimated. 
    Favorable developments relating to the outlook for inflation included 
    evidence of slowing increases in labor costs and continued aggressive 
    efforts by many business firms to improve productivity and reduce 
    costs in the face of intense competition from domestic and foreign 
    producers. Indeed, anecdotal reports from around the country 
    continued to suggest little or no upward pressure on prices in many 
    regions. In addition, the behavior of interest rates in longer-term 
    debt markets was consistent with spreading expectations of gradually 
    diminishing inflation. Some members believed, however, that little or 
    no further progress in reducing inflation was a more likely outcome in 
    the year ahead, though none anticipated higher inflation. Some 
    commodity price indexes had edged higher recently, apparently in 
    response to growing demands related to strengthening activity in 
    several sectors of the economy. Lumber prices in particular had risen 
    considerably in conjunction with the uptrend in single-family housing 
    construction and various constraints on lumber supplies. Some 
    business contacts reported for the first time in a long while that 
    they were experiencing or anticipated some upward pressure on their 
    raw materials prices. Further, while most business contacts saw or 
    anticipated little or no upward pressure on prices in their own 
    industries, many continued to expect rising inflation more generally. 
    The still relatively steep slope of the yield curve and its 
    implications with regard to expectations of future increases in 
    interest rates also suggested that investors remained concerned about 
    the possibility of higher inflation over the longer run, even though 
    such concerns might have abated somewhat recently and did not appear 
    to extend to the next year or two. In general, however, the members 
    viewed the inflation outlook with considerable optimism on the 
    presumption of favorable fiscal and monetary policy developments."
